S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4040.55 points on June 30, 2008 representing a decrease of -829.55 pts points (-17.03%), as compared to 4870.1 points on May 30, 2008. During the month of June 2008, S&P CNX Nifty touched a high of 4908.8 points on June 02, 2008 before closing at 4040.55 points on June 30, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.2933759 crores on May 30, 2008 to Rs.2434104 crores on June 30, 2008, i.e. a decrease of Rs.499655 crores (-17.03%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-06-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 08
10,DRREDDY,Pharmaceuticals,"840,932,410"," 11,265 ",0.46%,0.45 ,0.20 ,2.26 ,(6.21),0.08
11,GAIL,Gas,"8,456,516,000"," 28,173 ",1.16%,0.98 ,0.45 ,3.16 ,(16.80),0.11
12,GRASIM,Cement & Cement Products,"916,742,280"," 16,960 ",0.70%,0.74 ,0.49 ,1.89 ,(16.73),0.09
13,HCLTECH,Computers - Software,"1,332,024,680"," 16,820 ",0.69%,0.89 ,0.36 ,3.39 ,(19.72),0.13
14,HDFC,Finance - Housing,"2,842,102,400"," 55,843 ",2.29%,0.92 ,0.40 ,3.54 ,(23.63),0.08
15,HDFCBANK,Banks,"3,547,328,200"," 35,736 ",1.47%,0.97 ,0.50 ,3.17 ,(26.40),0.09
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 13,824 ",0.57%,0.43 ,0.15 ,3.10 ,(7.22),0.12
17,HINDALCO,Aluminium,"1,227,185,338"," 17,463 ",0.72%,1.25 ,0.52 ,2.91 ,(26.00),0.11
18,HINDUNILVR,Diversified,"2,178,275,926"," 45,123 ",1.85%,0.57 ,0.25 ,1.93 ,(12.63),0.09
19,ICICIBANK,Banks,"11,123,635,220"," 70,101 ",2.88%,1.14 ,0.56 ,2.75 ,(20.09),0.09
20,IDEA,Telecommunication - Services,"26,353,605,390"," 24,614 ",1.01%,0.77 ,0.30 ,3.19 ,(14.23),0.11
21,INFOSYSTCH,Computers - Software,"2,860,803,295"," 99,373 ",4.08%,0.65 ,0.28 ,2.55 ,(11.51),0.06
22,ITC,Cigarettes,"3,768,610,050"," 70,774 ",2.91%,0.68 ,0.32 ,2.25 ,(13.75),0.09
23,LT,Engineering,"584,811,524"," 63,882 ",2.62%,1.05 ,0.52 ,2.70 ,(26.75),0.07
24,M&M,Automobile - 4 wheelers,"2,457,418,130"," 12,006 ",0.49%,0.73 ,0.36 ,2.61 ,(17.22),0.11
25,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 17,813 ",0.73%,0.66 ,0.32 ,2.70 ,(19.20),0.10
26,NATIONALUM,Aluminium,"6,443,096,280"," 22,628 ",0.93%,0.86 ,0.20 ,4.19 ,(34.81),0.18
27,NTPC,Power,"82,454,644,000"," 125,249 ",5.15%,1.19 ,0.62 ,2.49 ,(11.87),0.10
28,ONGC,Oil Exploration,"21,388,725,300"," 174,329 ",7.16%,1.04 ,0.56 ,3.61 ,(5.80),0.10
29,PNB,Banks,"3,153,025,000"," 11,769 ",0.48%,1.00 ,0.48 ,2.66 ,(23.37),0.09
30,POWERGRID,Power,"42,088,412,300"," 33,039 ",1.36%,1.13 ,0.49 ,2.64 ,(20.39),0.11
31,RANBAXY,Pharmaceuticals,"1,866,189,350"," 19,522 ",0.80%,0.60 ,0.26 ,3.53 ,(0.99),0.07
32,RCOM,Telecommunication - Services,"10,320,134,405"," 91,395 ",3.75%,1.15 ,0.61 ,2.94 ,(23.25),0.09
33,RELINFRA,Power,"2,334,732,640"," 18,294 ",0.75%,1.76 ,0.58 ,4.47 ,(36.31),0.08
34,RELIANCE,Refineries,"14,536,486,010"," 304,561 ",12.51%,1.12 ,0.74 ,2.98 ,(12.83),0.07
35,RPL,Refineries,"45,000,000,000"," 76,748 ",3.15%,1.31 ,0.50 ,2.45 ,(2.38),0.08
36,SAIL,Steel & Steel Products,"41,304,005,450"," 57,619 ",2.37%,1.45 ,0.62 ,3.04 ,(13.89),0.10
37,SATYAMCOMP,Computers - Software,"1,344,401,600"," 29,365 ",1.21%,0.65 ,0.25 ,2.42 ,(16.55),0.07
38,SBIN,Banks,"6,348,802,220"," 70,573 ",2.90%,0.99 ,0.56 ,2.72 ,(23.07),0.09
39,SIEMENS,Electrical Equipment,"674,320,400"," 13,019 ",0.53%,0.91 ,0.40 ,2.93 ,(31.00),0.11
40,STER,Metals,"1,416,971,700"," 49,438 ",2.03%,1.22 ,0.50 ,2.96 ,(25.49),0.10
41,SUNPHARMA,Pharmaceuticals,"1,035,581,955"," 29,016 ",1.19%,0.38 ,0.11 ,3.05 ,(0.12),0.09
42,SUZLON,Electrical Equipment,"2,993,898,800"," 32,327 ",1.33%,1.06 ,0.36 ,4.30 ,(22.15),0.10
43,TATACOMM,Telecommunication - Services,"2,850,000,000"," 10,622 ",0.44%,1.05 ,0.35 ,3.75 ,(26.81),0.14
44,TATAMOTORS,Automobile - 4 wheelers,"3,856,187,230"," 16,429 ",0.67%,0.75 ,0.44 ,2.69 ,(25.99),0.10
45,TATAPOWER,Power,"2,207,807,020"," 23,337 ",0.96%,1.24 ,0.40 ,3.65 ,(21.99),0.11
46,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 53,262 ",2.19%,1.11 ,0.52 ,2.89 ,(19.27),0.08
47,TCS,Computers - Software,"978,610,498"," 83,984 ",3.45%,0.74 ,0.36 ,2.40 ,(17.41),0.09
48,UNITECH,Construction,"3,246,750,000"," 27,825 ",1.14%,1.57 ,0.55 ,4.58 ,(26.34),0.09
49,WIPRO,Computers - Software,"2,923,735,062"," 64,315 ",2.64%,0.74 ,0.34 ,3.48 ,(13.61),0.12
50,ZEEL,Media & Entertainment,"433,952,783"," 8,679 ",0.36%,0.73 ,0.30 ,3.08 ,(12.40),0.12
,,,,,,,,,,
,,,," 2,434,104 ",100.00%,,,,,0.09
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-July-2007 to 30-June-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-June-2008 to 30-June-2008,,,,,,,
,,,,,,,
* Last day of trading was 30-June-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
