S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4734.5 points on March 31, 2008 representing a fall of 489 pts points (9.36%), as compared to 5223.50 points on February 29, 2008. During the month of March 2008, S&P CNX Nifty touched a high of 5222.80 points on March 03, 2008 before closing at 4734.5 points on March 31, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.3016694 crores on February 29, 2008 to Rs.2848773 crores on March 31, 2008, i.e. an decrease of Rs.167921 crores (5.56%).",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 31-03-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar 08
19,ICICIBANK,Banks,"11,11,40,88,570","85,512",3.00%,1.1,0.55,5.35,-29.32,0.09
20,IDEA,Telecommunication - Services,"26,35,36,05,390","27,052",0.95%,0.8,0.34,3.41,-6.64,0.14
21,INFOSYSTCH,Computers - Software,"2,85,99,78,790","82,362",2.89%,0.62,0.3,4.01,-7,0.08
22,ITC,Cigarettes,"3,76,72,79,690","77,700",2.73%,0.67,0.32,2.79,1.73,0.08
23,LT,Engineering,"58,43,42,082","88,702",3.11%,1.04,0.52,4.75,-13.78,0.08
24,M&M,Automobile - 4 wheelers,"2,45,74,18,130","17,129",0.60%,0.76,0.4,1.83,0.77,0.11
25,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","23,893",0.84%,0.68,0.34,2.33,-4.75,0.08
26,NATIONALUM,Aluminium,"6,44,30,96,280","29,110",1.02%,0.76,0.18,3.72,-2.66,0.15
27,NTPC,Power,"82,45,46,44,000","1,62,106",5.69%,1.17,0.58,3.4,-2.67,0.09
28,ONGC,Oil Exploration,"21,38,87,25,300","2,09,727",7.36%,1.1,0.64,3.27,-3.6,0.1
29,PNB,Banks,"3,15,30,25,000","16,088",0.56%,1.03,0.49,3.72,-15.43,0.09
30,POWERGRID,Power,"42,08,84,12,300","41,373",1.45%,1.19,0.52,4.83,-10.56,0.09
31,RANBAXY,Pharmaceuticals,"1,86,57,68,295","16,361",0.57%,0.6,0.31,2.45,-1.64,0.08
32,RCOM,Telecommunication - Services,"10,32,01,34,405","1,05,214",3.69%,1.18,0.66,4.05,-11.3,0.08
33,REL,Power,"2,36,53,02,620","29,586",1.04%,1.67,0.55,6.41,-20.3,0.09
34,RELIANCE,Refineries,"14,53,64,86,010","3,29,368",11.56%,1.12,0.77,3.5,-8.02,0.08
35,RPL,Refineries,"45,00,00,00,000","70,290",2.47%,1.32,0.48,4.28,-11.15,0.08
36,SAIL,Steel & Steel Products,"41,30,40,05,450","76,536",2.69%,1.47,0.66,4.9,-27.18,0.1
37,SATYAMCOMP,Computers - Software,"1,34,07,72,270","26,571",0.93%,0.64,0.24,3.93,-9.28,0.08
38,SBIN,Banks,"6,31,55,86,540","1,01,065",3.55%,0.99,0.52,3.65,-24.22,0.08
39,SIEMENS,Electrical Equipment,"67,43,20,400","20,783",0.73%,0.87,0.38,4.13,-24.56,0.11
40,STER,Metals,"1,41,69,71,700","50,621",1.78%,1.28,0.55,4.23,-14.45,0.12
41,SUNPHARMA,Pharmaceuticals,"1,03,55,81,955","25,462",0.89%,0.38,0.11,2.87,0.19,0.12
42,SUZLON,Electrical Equipment,"2,99,38,68,800","39,489",1.39%,1.09,0.34,5.8,-6.25,0.11
43,TATACOMM,Telecommunication - Services,"2,85,00,00,000","14,619",0.51%,0.98,0.34,4.26,0.16,0.12
44,TATAMOTORS,Automobile - 4 wheelers,"3,85,50,39,540","24,005",0.84%,0.77,0.46,2.8,-11.09,0.09
45,TATAPOWER,Power,"2,20,03,83,600","25,777",0.90%,1.2,0.38,4.21,-16.32,0.12
46,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","50,741",1.78%,1.15,0.52,5.27,-13.4,0.08
47,TCS,Computers - Software,"97,86,10,498","79,311",2.78%,0.68,0.4,3.3,-7.63,0.1
48,UNITECH,Construction,"3,24,67,50,000","44,838",1.57%,1.55,0.49,5.79,-23.26,0.11
49,WIPRO,Computers - Software,"2,92,26,69,958","63,144",2.22%,0.69,0.35,4.39,-1.13,0.13
50,ZEEL,Media & Entertainment,"43,35,66,765","10,668",0.37%,0.78,0.3,3.06,1.61,0.12
,,,,,,,,,,
,,,,"28,48,773",100.00%,,,,,0.09
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2007 to 31-Mar-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2008 to 31-Mar-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 31-Mar-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 0.5 Crores  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
