S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 3921.2 points on September 30, 2008 representing a decrease of 438.8 pts points (-10.06%), as compared to 4360 points on August 29, 2008 . During the month of September 2008, S&P CNX Nifty touched a high of 4558 points on September 08, 2008 before closing at 3921.2 points on September 30, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.2639434 crores on August 29, 2008, to Rs.2406508 crores on September 30, 2008 i.e. a decrease of Rs.232926 crores (-8.82%)",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for September 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 08
13,HCLTECH,Computers - Software,"1,33,70,72,352","13,000",0.54%,0.89,0.36,4.04,-16.6,0.14
14,HDFC,Finance - Housing,"2,84,23,18,250","60,938",2.53%,1.11,0.49,3.72,-8.52,0.08
15,HDFCBANK,Banks,"4,25,02,94,760","52,266",2.17%,1.11,0.56,3.36,-3.68,0.08
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"39,93,75,000","17,419",0.72%,0.41,0.15,2.11,5.26,0.09
17,HINDALCO,Aluminium,"1,75,25,56,837","17,219",0.72%,1.12,0.49,2.1,-19.73,0.09
18,HINDUNILVR,Diversified,"2,17,91,57,002","54,969",2.28%,0.51,0.24,1.59,2.79,0.08
19,ICICIBANK,Banks,"11,12,73,43,990","59,592",2.48%,1.37,0.62,5.43,-20.29,0.08
20,IDEA,Telecommunication - Services,"31,00,09,52,090","23,297",0.97%,0.84,0.36,3.92,-8.8,0.11
21,INFOSYSTCH,Computers - Software,"2,86,24,99,275","80,038",3.33%,0.69,0.32,3.1,-20.07,0.07
22,ITC,Cigarettes,"3,77,01,64,610","70,898",2.95%,0.68,0.36,2.1,-0.34,0.09
23,LT,Engineering,"58,50,29,668","71,561",2.97%,1.1,0.58,2.83,-5.68,0.06
24,M&M,Automobile - 4 wheelers,"2,45,74,18,130","12,521",0.52%,0.72,0.37,2.17,-11.95,0.12
25,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","19,941",0.83%,0.68,0.3,2.8,6.25,0.08
26,NATIONALUM,Aluminium,"6,44,30,96,280","23,894",0.99%,0.81,0.19,4,-4.17,0.13
27,NTPC,Power,"82,45,46,44,000","1,41,740",5.89%,1.1,0.62,2.53,-1.72,0.09
28,ONGC,Oil Exploration,"21,38,87,25,300","2,21,202",9.19%,0.99,0.55,3.26,1.07,0.11
29,PNB,Banks,"3,15,30,25,000","14,975",0.62%,1.06,0.52,3,-1.2,0.08
30,POWERGRID,Power,"42,08,84,12,300","36,112",1.50%,1.14,0.55,3.21,-7.84,0.11
31,RANBAXY,Pharmaceuticals,"1,87,03,48,940","9,243",0.38%,0.6,0.18,4.33,-52.37,0.09
32,RCOM,Telecommunication - Services,"10,32,01,34,405","68,846",2.86%,1.18,0.56,2.79,-15.6,0.09
33,RELINFRA,Power,"2,30,87,02,620","18,245",0.76%,1.83,0.67,4.01,-20.32,0.08
34,RELIANCE,Refineries,"14,53,74,94,780","2,83,387",11.78%,1.09,0.74,2.83,-8.75,0.06
35,RPL,Refineries,"45,00,00,00,000","64,575",2.68%,1.19,0.5,1.83,-8.72,0.07
36,SAIL,Steel & Steel Products,"41,30,40,05,450","52,745",2.19%,1.33,0.58,3.31,-18.19,0.1
37,SATYAMCOMP,Computers - Software,"1,34,69,75,936","20,060",0.83%,0.71,0.28,4.35,-29.03,0.08
38,SBIN,Banks,"6,34,88,02,220","92,905",3.86%,1.05,0.56,3.27,4.24,0.07
39,SIEMENS,Electrical Equipment,"67,43,20,400","13,456",0.56%,0.98,0.44,3.19,-27.18,0.11
40,STER,Metals,"1,41,69,71,700","30,376",1.26%,1.06,0.41,4.95,-31.7,0.09
41,SUNPHARMA,Pharmaceuticals,"1,03,55,81,955","30,723",1.28%,0.38,0.12,1.94,0.75,0.08
42,SUZLON,Electrical Equipment,"2,99,65,00,800","22,788",0.95%,1.12,0.41,4.73,-30.25,0.09
43,TATACOMM,Telecommunication - Services,"2,85,00,00,000","13,462",0.56%,1.06,0.37,3.71,13.94,0.13
44,TATAMOTORS,Automobile - 4 wheelers,"4,49,93,31,420","15,473",0.64%,0.76,0.44,2.79,-19.27,0.08
45,TATAPOWER,Power,"2,21,38,77,340","20,083",0.83%,1.25,0.42,3.13,-13.67,0.08
46,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","31,215",1.30%,1.03,0.49,2.9,-28.89,0.07
47,TCS,Computers - Software,"97,86,10,498","65,136",2.71%,0.81,0.41,3.86,-18.05,0.1
48,UNITECH,Construction,"3,24,67,50,000","18,961",0.79%,1.6,0.62,4.51,-26.54,0.1
49,WIPRO,Computers - Software,"2,92,55,39,058","49,720",2.07%,0.78,0.37,2.98,-21.39,0.11
50,ZEEL,Media & Entertainment,"43,40,07,111","8,528",0.35%,0.65,0.28,2.72,-9.84,0.11
,,,,,,,,,,
,,,,"24,06,508",100.00%,,,,,0.08
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-October-2007 to 30-September-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-September-2008 to 30-September-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 30 September-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
