S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 2755.1 points on November 28, 2008 representing a decrease of 130.50 pts points (-4.52%), as compared to  2885.6 points on October 31, 2008 . During the month of November 2008, S&P CNX Nifty touched a high of 3240.55 points on November 05, 2008 before closing at 2755.1 points on November 28, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.1785998 crores on October 31, 2008, to Rs.1706209 crores on November 28, 2008 i.e. a decrease of Rs.79789crores (-4.47%)",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for November 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November 08
24,M&M,Automobile - 4 wheelers,"2,58,56,93,650","7,261",0.43%,0.9,0.44,4.24,-25.02,0.2
25,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","15,415",0.90%,0.67,0.37,3.7,-5.26,0.13
26,NATIONALUM,Aluminium,"6,44,30,96,280","11,182",0.66%,0.93,0.28,6.91,8.95,0.25
27,NTPC,Power,"82,45,46,44,000","1,31,474",7.71%,1.01,0.67,4.77,13,0.15
28,ONGC,Oil Exploration,"21,38,87,25,300","1,48,395",8.70%,0.92,0.59,4.39,3.69,0.18
29,PNB,Banks,"3,15,30,25,000","14,044",0.82%,0.93,0.52,4,5.87,0.13
30,POWERGRID,Power,"42,08,84,12,300","31,166",1.83%,1.03,0.61,3.82,6.01,0.2
31,RANBAXY,Pharmaceuticals,"2,10,18,48,765","8,752",0.51%,0.64,0.2,4.79,23.38,0.16
32,RCOM,Telecommunication - Services,"10,32,01,34,405","40,352",2.36%,1.36,0.61,6.02,-11.12,0.16
33,RELINFRA,Power,"2,30,87,02,620","11,635",0.68%,1.75,0.72,7.71,10.15,0.14
34,RELIANCE,Refineries,"15,73,78,75,560","1,78,538",10.46%,1.15,0.76,5.59,-17.52,0.12
35,RPL,Refineries,"45,00,00,00,000","32,963",1.93%,1.16,0.67,4.42,-15.17,0.15
36,SAIL,Steel & Steel Products,"41,30,40,05,450","27,529",1.61%,1.17,0.55,6.81,-21.22,0.2
37,SATYAMCOMP,Computers - Software,"1,34,76,08,692","16,367",0.96%,0.74,0.32,4.01,-20.27,0.14
38,SBIN,Banks,"6,34,88,02,220","69,110",4.05%,1.01,0.61,5.22,-1.91,0.12
39,SIEMENS,Electrical Equipment,"67,43,20,400","7,561",0.44%,0.9,0.42,6.49,-15.3,0.19
40,STER,Metals,"1,41,69,71,700","16,791",0.98%,1.25,0.55,7.29,-16.52,0.17
41,SUNPHARMA,Pharmaceuticals,"1,03,55,81,955","22,413",1.31%,0.3,0.08,3.54,-3.23,0.14
42,SUZLON,Electrical Equipment,"2,99,65,90,800","6,240",0.37%,1.37,0.45,8.84,-6.19,0.17
43,TATACOMM,Telecommunication - Services,"2,85,00,00,000","11,239",0.66%,1,0.38,4.31,-18.68,0.15
44,TATAMOTORS,Automobile - 4 wheelers,"4,49,93,31,420","6,160",0.36%,0.97,0.52,6.44,-19.26,0.16
45,TATAPOWER,Power,"2,21,38,77,340","14,801",0.87%,1.1,0.52,4.56,-3.05,0.15
46,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","11,064",0.65%,1.25,0.61,6.65,-27.82,0.15
47,TCS,Computers - Software,"97,86,10,498","54,743",3.21%,0.88,0.46,4.24,4.07,0.16
48,UNITECH,Construction,"3,24,67,50,000","3,758",0.22%,1.64,0.46,7.51,-52.17,0.19
49,WIPRO,Computers - Software,"2,92,69,49,652","35,511",2.08%,0.92,0.49,4.47,-11,0.22
50,ZEEL,Media & Entertainment,"43,40,07,111","4,731",0.28%,0.68,0.31,4.7,-29.17,0.17
,,,,,,,,,,
,,,,"17,06,210",100.00%,,,,,0.15
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-December-2007 to 30-November-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-November-2008 to 30-November-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 28-November-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
