Annexure II- S&P CNX Nifty Index : May 2009,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity,Market Capitalisation for May 2009,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2009
43,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"2,99,65,90,800","14,668",0.53%,1.56,0.52,6.43,53.93,0.15
44,TATACOMM,Tata Communications Ltd.,TELECOMMUNICATION - SERVICES,"2,85,00,00,000","13,332",0.48%,0.95,0.45,4.81,-14.71,0.23
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,49,93,31,670","15,156",0.54%,1.16,0.49,6.1,38.17,0.14
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,21,73,64,760","23,736",0.85%,0.97,0.53,3.74,19.36,0.13
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"7,30,76,74,270","29,622",1.06%,1.4,0.61,6,70.24,0.13
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"97,86,10,498","68,953",2.47%,0.9,0.5,5.17,12.99,0.14
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,08,88,79,870","16,274",0.58%,1.67,0.44,7.89,80.7,0.15
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,93,04,25,146","56,008",2.01%,0.94,0.52,4.69,15.54,0.22
,,,,,,,,,,,
,,,,,"27,89,789",100.00%,,,,,0.15
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-June-2008 to 31-May-2009,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2009 to 31-May-2009,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-May-2009,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
