Annexure II- S&P CNX Nifty Index : February 2010,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2010,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2010
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,91,34,34,307","21,139",1.48%,1.32,0.49,3.27,10.38,0.09
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,18,14,41,805","24,721",1.73%,0.4,0.18,1.65,-2.52,0.07
19,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,13,84,69,520","97,144",6.80%,1.47,0.67,1.78,5.03,0.07
20,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,"31,00,09,52,090","9,652",0.68%,1.08,0.46,2.08,4.53,0.1
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,"12,96,57,67,610","14,954",1.05%,1.36,0.52,2.29,5.17,0.08
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,"2,86,76,76,165","1,25,271",8.77%,0.69,0.38,1.39,5.11,0.07
23,ITC,I T C Ltd.,CIGARETTES,"3,80,00,21,680","60,199",4.21%,0.63,0.31,1.83,-7.16,0.07
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"93,07,81,836","24,379",1.71%,1.09,0.49,1.83,0.71,0.08
25,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,"4,24,36,81,902","15,123",1.06%,1.66,0.36,2.64,-4.1,0.08
26,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,20,05,45,626","93,901",6.57%,1.27,0.71,1.42,9.86,0.08
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,"2,79,82,12,650","20,474",1.43%,1.21,0.53,2.54,-0.96,0.09
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,"1,44,45,50,300","19,314",1.35%,0.7,0.32,1.9,5.07,0.07
29,NTPC,NTPC Ltd.,POWER,"82,45,46,44,000","17,581",1.23%,0.58,0.4,1.4,-5.25,0.05
30,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,"21,38,87,25,300","37,697",2.64%,0.86,0.48,1.57,1.93,0.08
31,PNB,Punjab National Bank,BANKS,"3,15,30,25,000","11,989",0.84%,0.96,0.5,1.63,0.26,0.09
32,POWERGRID,Power Grid Corporation of India Ltd.,POWER,"42,08,84,12,300","6,173",0.43%,0.76,0.5,1.27,-4.57,0.08
33,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,"2,10,26,16,230","7,137",0.50%,0.86,0.27,2.65,3.56,0.07
34,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,"10,32,01,34,405","10,567",0.74%,1.43,0.58,1.9,-7.21,0.07
35,RELCAPITAL,Reliance Capital Ltd.,FINANCE,"2,45,63,28,000","8,985",0.63%,1.66,0.61,2.43,-2.3,0.07
36,RELIANCE,Reliance Industries Ltd.,REFINERIES,"32,86,41,35,810","1,65,553",11.59%,1.13,0.71,1.68,-6.43,0.07
37,RELINFRA,Reliance Infrastructure Ltd.,POWER,"2,25,27,02,620","14,073",0.98%,1.49,0.64,1.63,-2.97,0.08
38,RPOWER,Reliance Power Ltd.,POWER,"23,96,80,00,000","5,038",0.35%,1.03,0.52,1.45,-5.38,0.07
39,SAIL,Steel Authority of India Ltd,STEEL AND STEEL PRODUCTS,"41,30,40,05,450","12,798",0.90%,1.33,0.62,2.44,1.86,0.07
40,SBIN,State Bank of India,BANKS,"6,34,88,02,220","50,872",3.56%,1.2,0.66,1.61,-4,0.05
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,"67,43,20,400","10,340",0.72%,1.14,0.56,1.86,6.42,0.08
42,STER,Sterlite Industries (India) Ltd.,METALS,"1,68,07,83,722","31,532",2.21%,1.38,0.55,2.73,3.84,0.07
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,"1,03,55,81,955","11,572",0.81%,0.62,0.21,1.36,4.52,0.09
44,SUZLON,Suzlon Energy Ltd.,ELECTRICAL EQUIPMENT,"3,11,34,63,486","5,248",0.37%,1.5,0.42,2.41,-6.99,0.08
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,"4,79,83,84,120","19,311",1.35%,1.25,0.38,2.47,2.43,0.07
46,TATAPOWER,Tata Power Co. Ltd.,POWER,"2,37,18,86,650","19,837",1.39%,0.8,0.45,1.57,-7.03,0.07
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,"8,87,38,90,170","35,075",2.45%,1.47,0.53,2.92,0.92,0.06
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,"1,95,72,20,996","38,281",2.68%,0.89,0.42,1.16,3.48,0.07
49,UNITECH,Unitech Ltd.,CONSTRUCTION,"4,77,76,02,094","9,652",0.68%,1.7,0.49,2.65,-3.16,0.08
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,"2,93,53,35,164","20,202",1.41%,0.79,0.38,1.55,4.56,0.08
,,,,,"14,28,908",100.00%,,,,,0.07
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-March-2009 to 28-February-2010,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-February- 2010 to 28-February- 2010,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 26-February-2010,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,
