S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4040.55 points on June 30, 2008 representing a decrease of -829.55 pts points (-17.03%), as compared to 4870.1 points on May 30, 2008. During the month of June 2008, S&P CNX Nifty touched a high of 4908.8 points on June 02, 2008 before closing at 4040.55 points on June 30, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.2933759 crores on May 30, 2008 to Rs.2434104 crores on June 30, 2008, i.e. a decrease of Rs.499655 crores (-17.03%)",,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-06-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 08
23,LT,Engineering,"58,48,11,524","63,882",2.62%,1.05,0.52,2.7,-26.75,0.07
24,M&M,Automobile - 4 wheelers,"2,45,74,18,130","12,006",0.49%,0.73,0.36,2.61,-17.22,0.11
25,MARUTI,Automobile - 4 wheelers,"1,44,45,50,300","17,813",0.73%,0.66,0.32,2.7,-19.2,0.1
26,NATIONALUM,Aluminium,"6,44,30,96,280","22,628",0.93%,0.86,0.2,4.19,-34.81,0.18
27,NTPC,Power,"82,45,46,44,000","1,25,249",5.15%,1.19,0.62,2.49,-11.87,0.1
28,ONGC,Oil Exploration,"21,38,87,25,300","1,74,329",7.16%,1.04,0.56,3.61,-5.8,0.1
29,PNB,Banks,"3,15,30,25,000","11,769",0.48%,1,0.48,2.66,-23.37,0.09
30,POWERGRID,Power,"42,08,84,12,300","33,039",1.36%,1.13,0.49,2.64,-20.39,0.11
31,RANBAXY,Pharmaceuticals,"1,86,61,89,350","19,522",0.80%,0.6,0.26,3.53,-0.99,0.07
32,RCOM,Telecommunication - Services,"10,32,01,34,405","91,395",3.75%,1.15,0.61,2.94,-23.25,0.09
33,RELINFRA,Power,"2,33,47,32,640","18,294",0.75%,1.76,0.58,4.47,-36.31,0.08
34,RELIANCE,Refineries,"14,53,64,86,010","3,04,561",12.51%,1.12,0.74,2.98,-12.83,0.07
35,RPL,Refineries,"45,00,00,00,000","76,748",3.15%,1.31,0.5,2.45,-2.38,0.08
36,SAIL,Steel & Steel Products,"41,30,40,05,450","57,619",2.37%,1.45,0.62,3.04,-13.89,0.1
37,SATYAMCOMP,Computers - Software,"1,34,44,01,600","29,365",1.21%,0.65,0.25,2.42,-16.55,0.07
38,SBIN,Banks,"6,34,88,02,220","70,573",2.90%,0.99,0.56,2.72,-23.07,0.09
39,SIEMENS,Electrical Equipment,"67,43,20,400","13,019",0.53%,0.91,0.4,2.93,-31,0.11
40,STER,Metals,"1,41,69,71,700","49,438",2.03%,1.22,0.5,2.96,-25.49,0.1
41,SUNPHARMA,Pharmaceuticals,"1,03,55,81,955","29,016",1.19%,0.38,0.11,3.05,-0.12,0.09
42,SUZLON,Electrical Equipment,"2,99,38,98,800","32,327",1.33%,1.06,0.36,4.3,-22.15,0.1
43,TATACOMM,Telecommunication - Services,"2,85,00,00,000","10,622",0.44%,1.05,0.35,3.75,-26.81,0.14
44,TATAMOTORS,Automobile - 4 wheelers,"3,85,61,87,230","16,429",0.67%,0.75,0.44,2.69,-25.99,0.1
45,TATAPOWER,Power,"2,20,78,07,020","23,337",0.96%,1.24,0.4,3.65,-21.99,0.11
46,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","53,262",2.19%,1.11,0.52,2.89,-19.27,0.08
47,TCS,Computers - Software,"97,86,10,498","83,984",3.45%,0.74,0.36,2.4,-17.41,0.09
48,UNITECH,Construction,"3,24,67,50,000","27,825",1.14%,1.57,0.55,4.58,-26.34,0.09
49,WIPRO,Computers - Software,"2,92,37,35,062","64,315",2.64%,0.74,0.34,3.48,-13.61,0.12
50,ZEEL,Media & Entertainment,"43,39,52,783","8,679",0.36%,0.73,0.3,3.08,-12.4,0.12
,,,,,,,,,,
,,,,"24,34,104",100.00%,,,,,0.09
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-July-2007 to 30-June-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-June-2008 to 30-June-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 30-June-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
