S&P CNX Nifty Index,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for August 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 08
42,SUZLON,Electrical Equipment,"2,99,65,00,800","32,669",1.24%,1.08,0.4,2.47,-2.26,0.09
43,TATACOMM,Telecommunication - Services,"2,85,00,00,000","11,815",0.45%,1.07,0.37,2.62,-8.01,0.11
44,TATAMOTORS,Automobile - 4 wheelers,"3,85,65,69,790","16,984",0.64%,0.79,0.46,2.56,9.14,0.08
45,TATAPOWER,Power,"2,21,38,77,340","23,263",0.88%,1.27,0.42,1.98,-9.23,0.08
46,TATASTEEL,Steel & Steel Products,"7,30,76,74,270","43,897",1.66%,1.04,0.49,2.43,-8.3,0.06
47,TCS,Computers - Software,"97,86,10,498","79,483",3.01%,0.75,0.37,1.92,-2.58,0.08
48,UNITECH,Construction,"3,24,67,50,000","25,812",0.98%,1.61,0.61,3.57,-2.99,0.09
49,WIPRO,Computers - Software,"2,92,49,22,008","63,237",2.40%,0.77,0.35,2,4.09,0.1
50,ZEEL,Media & Entertainment,"43,40,07,111","9,459",0.36%,0.64,0.26,2.02,12.4,0.09
,,,,,,,,,,
,,,,"26,39,434",100.00%,,,,,0.07
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-September-2007 to 31-August-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,
,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-August-2008 to 31-August-2008,,,,,,,,,,
,,,,,,,,,,
* Last day of trading was 29-August-2008,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,
,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,
