S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 5223.50 points on February 29, 2008 representing a rise of 86.05 points (1.67%), as compared to 5137.45 points on January 31, 2008. During the month of February 2008, S&P CNX Nifty touched a high of 5545.20 points on February 04, 2008 before closing at 5223.50 points on February 29, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2966421 crores on January 31, 2008 to Rs.3016694 crores on February 29, 2008, i.e. an increase of Rs.50273 crores (1.69%).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 29-02-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb 08
28,M&M,Automobile - 4 wheelers,"2,457,418,130"," 16,999 ",0.56%,0.87 ,0.44 ,3.15 ,4.05 ,0.14
29,IDEA,Telecommunication - Services,"26,353,605,390"," 28,976 ",0.96%,0.81 ,0.30 ,3.19 ,(10.94),0.16
30,NATIONALUM,Aluminium,"6,443,096,280"," 29,906 ",0.99%,0.74 ,0.16 ,5.15 ,5.86 ,0.20
31,ONGC,Oil Exploration,"21,388,725,300"," 217,555 ",7.21%,1.12 ,0.62 ,2.90 ,2.79 ,0.12
32,STER,Metals,"1,416,971,700"," 59,169 ",1.96%,1.28 ,0.52 ,3.59 ,11.94 ,0.13
33,PNB,Banks,"3,153,025,000"," 19,024 ",0.63%,1.05 ,0.49 ,3.31 ,(6.65),0.12
34,RANBAXY,Pharmaceuticals,"1,865,768,295"," 16,633 ",0.55%,0.66 ,0.32 ,2.35 ,28.05 ,0.11
35,REL,Power,"2,365,302,620"," 37,121 ",1.23%,1.55 ,0.50 ,5.42 ,(20.66),0.11
36,RELIANCE,Refineries,"14,536,486,010"," 358,099 ",11.87%,1.12 ,0.77 ,3.04 ,(0.62),0.09
37,SAIL,Steel & Steel Products,"41,304,005,450"," 105,098 ",3.48%,1.52 ,0.66 ,4.11 ,18.46 ,0.12
38,SATYAMCOMP,Computers - Software,"1,340,181,232"," 29,276 ",0.97%,0.64 ,0.23 ,3.54 ,11.26 ,0.10
39,SBIN,Banks,"6,315,586,540"," 133,363 ",4.42%,1.00 ,0.52 ,2.87 ,(2.57),0.10
40,SIEMENS,Electrical Equipment,"674,320,400"," 27,548 ",0.91%,0.85 ,0.37 ,2.60 ,(2.28),0.11
41,SUNPHARMA,Pharmaceuticals,"1,007,387,365"," 24,721 ",0.82%,0.42 ,0.13 ,2.88 ,8.32 ,0.16
42,SUZLON,Electrical Equipment,"2,993,868,800"," 42,124 ",1.40%,1.06 ,0.34 ,3.59 ,(8.90),0.11
43,TATAPOWER,Power,"2,189,003,580"," 30,644 ",1.02%,1.20 ,0.37 ,3.72 ,9.54 ,0.13
44,RCOM,Telecommunication - Services,"10,320,134,405"," 118,620 ",3.93%,1.20 ,0.66 ,4.48 ,(4.05),0.10
45,TATAMOTORS,Automobile - 4 wheelers,"3,855,039,540"," 26,999 ",0.89%,0.82 ,0.48 ,2.00 ,0.13 ,0.11
46,TCS,Computers - Software,"978,610,498"," 85,863 ",2.85%,0.69 ,0.38 ,2.53 ,0.42 ,0.11
47,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 58,589 ",1.94%,1.11 ,0.52 ,3.13 ,8.55 ,0.09
48,TATACOMM,Telecommunication - Services,"2,850,000,000"," 14,596 ",0.48%,0.99 ,0.32 ,4.64 ,(1.48),0.15
49,WIPRO,Computers - Software,"2,921,895,058"," 63,851 ",2.12%,0.67 ,0.32 ,2.91 ,3.38 ,0.16
50,ZEEL,Media & Entertainment,"433,566,765"," 10,499 ",0.35%,0.82 ,0.31 ,2.33 ,(14.89),0.13
,,,," 3,016,694 ",100.00%,,,,,0.11
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2007 to 29-Feb-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2008 to 29-Feb-2008,,,,,,,
,,,,,,,
* Last day of trading was 29-Feb-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 lakhs  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
