S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4734.5 points on March 31, 2008 representing a fall of 489 pts points (9.36%), as compared to 5223.50 points on February 29, 2008. During the month of March 2008, S&P CNX Nifty touched a high of 5222.80 points on March 03, 2008 before closing at 4734.5 points on March 31, 2008. The market capitalisation of  S&P CNX Nifty decreased from Rs.3016694 crores on February 29, 2008 to Rs.2848773 crores on March 31, 2008, i.e. an decrease of Rs.167921 crores (5.56%).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 31-03-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar 08
11,GAIL,Gas,"8,456,516,000"," 35,978 ",1.26%,0.94 ,0.38 ,3.13 ,0.48 ,0.09
12,GRASIM,Cement & Cement Products,"916,742,100"," 23,609 ",0.83%,0.80 ,0.53 ,2.86 ,(10.62),0.10
13,HCLTECH,Computers - Software,"1,330,287,536"," 16,845 ",0.59%,0.87 ,0.37 ,4.62 ,(8.79),0.13
14,HDFC,Finance - Housing,"2,838,943,880"," 67,560 ",2.37%,0.90 ,0.40 ,5.31 ,(14.90),0.08
15,HDFCBANK,Banks,"3,544,329,200"," 47,184 ",1.66%,0.93 ,0.50 ,3.74 ,(8.62),0.09
16,HEROHONDA,Automohiles - 2 and 3 wheelers,"399,375,000"," 13,869 ",0.49%,0.45 ,0.18 ,2.33 ,(8.81),0.12
17,HINDALCO,Aluminium,"1,227,184,962"," 20,261 ",0.71%,1.19 ,0.50 ,5.29 ,(18.51),0.11
18,HINDUNILVR,Diversified,"2,177,983,566"," 49,832 ",1.75%,0.58 ,0.25 ,2.85 ,0.57 ,0.09
19,ICICIBANK,Banks,"11,114,088,570"," 85,512 ",3.00%,1.10 ,0.55 ,5.35 ,(29.32),0.09
20,IDEA,Telecommunication - Services,"26,353,605,390"," 27,052 ",0.95%,0.80 ,0.34 ,3.41 ,(6.64),0.14
21,INFOSYSTCH,Computers - Software,"2,859,978,790"," 82,362 ",2.89%,0.62 ,0.30 ,4.01 ,(7.00),0.08
22,ITC,Cigarettes,"3,767,279,690"," 77,700 ",2.73%,0.67 ,0.32 ,2.79 ,1.73 ,0.08
23,LT,Engineering,"584,342,082"," 88,702 ",3.11%,1.04 ,0.52 ,4.75 ,(13.78),0.08
24,M&M,Automobile - 4 wheelers,"2,457,418,130"," 17,129 ",0.60%,0.76 ,0.40 ,1.83 ,0.77 ,0.11
25,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 23,893 ",0.84%,0.68 ,0.34 ,2.33 ,(4.75),0.08
26,NATIONALUM,Aluminium,"6,443,096,280"," 29,110 ",1.02%,0.76 ,0.18 ,3.72 ,(2.66),0.15
27,NTPC,Power,"82,454,644,000"," 162,106 ",5.69%,1.17 ,0.58 ,3.40 ,(2.67),0.09
28,ONGC,Oil Exploration,"21,388,725,300"," 209,727 ",7.36%,1.10 ,0.64 ,3.27 ,(3.60),0.10
29,PNB,Banks,"3,153,025,000"," 16,088 ",0.56%,1.03 ,0.49 ,3.72 ,(15.43),0.09
30,POWERGRID,Power,"42,088,412,300"," 41,373 ",1.45%,1.19 ,0.52 ,4.83 ,(10.56),0.09
31,RANBAXY,Pharmaceuticals,"1,865,768,295"," 16,361 ",0.57%,0.60 ,0.31 ,2.45 ,(1.64),0.08
32,RCOM,Telecommunication - Services,"10,320,134,405"," 105,214 ",3.69%,1.18 ,0.66 ,4.05 ,(11.30),0.08
33,REL,Power,"2,365,302,620"," 29,586 ",1.04%,1.67 ,0.55 ,6.41 ,(20.30),0.09
34,RELIANCE,Refineries,"14,536,486,010"," 329,368 ",11.56%,1.12 ,0.77 ,3.50 ,(8.02),0.08
35,RPL,Refineries,"45,000,000,000"," 70,290 ",2.47%,1.32 ,0.48 ,4.28 ,(11.15),0.08
36,SAIL,Steel & Steel Products,"41,304,005,450"," 76,536 ",2.69%,1.47 ,0.66 ,4.90 ,(27.18),0.10
37,SATYAMCOMP,Computers - Software,"1,340,772,270"," 26,571 ",0.93%,0.64 ,0.24 ,3.93 ,(9.28),0.08
38,SBIN,Banks,"6,315,586,540"," 101,065 ",3.55%,0.99 ,0.52 ,3.65 ,(24.22),0.08
39,SIEMENS,Electrical Equipment,"674,320,400"," 20,783 ",0.73%,0.87 ,0.38 ,4.13 ,(24.56),0.11
40,STER,Metals,"1,416,971,700"," 50,621 ",1.78%,1.28 ,0.55 ,4.23 ,(14.45),0.12
41,SUNPHARMA,Pharmaceuticals,"1,035,581,955"," 25,462 ",0.89%,0.38 ,0.11 ,2.87 ,0.19 ,0.12
42,SUZLON,Electrical Equipment,"2,993,868,800"," 39,489 ",1.39%,1.09 ,0.34 ,5.80 ,(6.25),0.11
43,TATACOMM,Telecommunication - Services,"2,850,000,000"," 14,619 ",0.51%,0.98 ,0.34 ,4.26 ,0.16 ,0.12
44,TATAMOTORS,Automobile - 4 wheelers,"3,855,039,540"," 24,005 ",0.84%,0.77 ,0.46 ,2.80 ,(11.09),0.09
45,TATAPOWER,Power,"2,200,383,600"," 25,777 ",0.90%,1.20 ,0.38 ,4.21 ,(16.32),0.12
46,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 50,741 ",1.78%,1.15 ,0.52 ,5.27 ,(13.40),0.08
47,TCS,Computers - Software,"978,610,498"," 79,311 ",2.78%,0.68 ,0.40 ,3.30 ,(7.63),0.10
48,UNITECH,Construction,"3,246,750,000"," 44,838 ",1.57%,1.55 ,0.49 ,5.79 ,(23.26),0.11
49,WIPRO,Computers - Software,"2,922,669,958"," 63,144 ",2.22%,0.69 ,0.35 ,4.39 ,(1.13),0.13
50,ZEEL,Media & Entertainment,"433,566,765"," 10,668 ",0.37%,0.78 ,0.30 ,3.06 ,1.61 ,0.12
,,,,,,,,,,
,,,," 2,848,773 ",100.00%,,,,,0.09
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2007 to 31-Mar-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2008 to 31-Mar-2008,,,,,,,
,,,,,,,
* Last day of trading was 31-Mar-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 0.5 Crores  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
