S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 4332.95 points on July 31, 2008 representing a increase of 292.40 pts points (7.24%), as compared to 4040.55 points on June 30, 2008 . During the month of July 2008, S&P CNX Nifty touched a high of 4539.45 points on July 24, 2008 before closing at 4332.95 points on July 31, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2434104 crores on June 30, 2008 to Rs.2617902 crores on July 31, 2008, i.e. a increase of Rs.183798 crores (7.55%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 31-07-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 08
19,ICICIBANK,Banks,"11,125,152,400"," 70,901 ",2.71%,1.28 ,0.62 ,6.08 ,1.13 ,0.09
20,IDEA,Telecommunication - Services,"26,353,605,390"," 23,204 ",0.89%,0.81 ,0.35 ,3.80 ,(5.73),0.11
21,INFOSYSTCH,Computers - Software,"2,861,715,880"," 90,628 ",3.46%,0.66 ,0.30 ,3.36 ,(8.83),0.07
22,ITC,Cigarettes,"3,768,610,050"," 70,398 ",2.69%,0.71 ,0.36 ,3.41 ,(0.53),0.10
23,LT,Engineering,"584,811,524"," 76,188 ",2.91%,1.08 ,0.56 ,4.41 ,19.26 ,0.07
24,M&M,Automobile - 4 wheelers,"2,457,418,130"," 12,846 ",0.49%,0.74 ,0.38 ,3.18 ,7.00 ,0.14
25,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 16,631 ",0.64%,0.70 ,0.32 ,4.20 ,(6.63),0.10
26,NATIONALUM,Aluminium,"6,443,096,280"," 27,361 ",1.05%,0.75 ,0.17 ,4.39 ,20.91 ,0.15
27,NTPC,Power,"82,454,644,000"," 140,461 ",5.37%,1.11 ,0.58 ,2.99 ,12.15 ,0.10
28,ONGC,Oil Exploration,"21,388,725,300"," 213,085 ",8.14%,1.01 ,0.56 ,3.01 ,22.23 ,0.10
29,PNB,Banks,"3,153,025,000"," 14,244 ",0.54%,1.03 ,0.52 ,4.30 ,21.03 ,0.12
30,POWERGRID,Power,"42,088,412,300"," 39,879 ",1.52%,1.15 ,0.53 ,4.00 ,20.70 ,0.12
31,RANBAXY,Pharmaceuticals,"1,870,348,940"," 18,629 ",0.71%,0.57 ,0.20 ,5.66 ,(4.79),0.08
32,RCOM,Telecommunication - Services,"10,320,134,405"," 103,336 ",3.95%,1.22 ,0.62 ,5.20 ,13.06 ,0.10
33,RELINFRA,Power,"2,319,702,620"," 22,387 ",0.86%,1.82 ,0.64 ,6.03 ,23.17 ,0.09
34,RELIANCE,Refineries,"14,536,486,010"," 320,893 ",12.26%,1.10 ,0.74 ,3.51 ,5.36 ,0.07
35,RPL,Refineries,"45,000,000,000"," 74,138 ",2.83%,1.26 ,0.50 ,3.22 ,(3.40),0.08
36,SAIL,Steel & Steel Products,"41,304,005,450"," 58,094 ",2.22%,1.38 ,0.62 ,4.50 ,0.82 ,0.12
37,SATYAMCOMP,Computers - Software,"1,345,482,214"," 25,648 ",0.98%,0.63 ,0.24 ,4.03 ,(12.73),0.08
38,SBIN,Banks,"6,348,802,220"," 89,978 ",3.44%,1.04 ,0.58 ,4.45 ,27.50 ,0.10
39,SIEMENS,Electrical Equipment,"674,320,400"," 18,465 ",0.71%,0.99 ,0.45 ,5.16 ,41.82 ,0.13
40,STER,Metals,"1,416,971,700"," 44,929 ",1.72%,1.11 ,0.46 ,3.85 ,(9.12),0.10
41,SUNPHARMA,Pharmaceuticals,"1,035,581,955"," 29,224 ",1.12%,0.36 ,0.11 ,2.16 ,0.72 ,0.09
42,SUZLON,Electrical Equipment,"2,996,500,800"," 33,426 ",1.28%,1.11 ,0.41 ,4.26 ,3.31 ,0.11
43,TATACOMM,Telecommunication - Services,"2,850,000,000"," 12,844 ",0.49%,1.08 ,0.38 ,4.51 ,20.91 ,0.14
44,TATAMOTORS,Automobile - 4 wheelers,"3,856,187,230"," 15,560 ",0.59%,0.78 ,0.46 ,3.75 ,(5.29),0.11
45,TATAPOWER,Power,"2,208,541,210"," 25,568 ",0.98%,1.26 ,0.42 ,5.17 ,9.53 ,0.10
46,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 47,873 ",1.83%,1.10 ,0.50 ,4.74 ,(10.12),0.09
47,TCS,Computers - Software,"978,610,498"," 81,592 ",3.12%,0.75 ,0.38 ,3.75 ,(2.85),0.10
48,UNITECH,Construction,"3,246,750,000"," 26,607 ",1.02%,1.56 ,0.58 ,5.30 ,(4.38),0.11
49,WIPRO,Computers - Software,"2,924,126,844"," 60,734 ",2.32%,0.75 ,0.35 ,3.44 ,(5.58),0.13
50,ZEEL,Media & Entertainment,"434,007,111"," 8,415 ",0.32%,0.66 ,0.28 ,3.34 ,(3.05),0.12
,,,,,,,,,,
,,,," 2,617,902 ",100.00%,,,,,0.09
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Aug-2007 to 31-July-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-July-2008 to 31-July-2008,,,,,,,
,,,,,,,
* Last day of trading was 31-July-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
