S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 2885.6 points on October 31, 2008 representing a decrease of 1035.60 pts points (-26.41%), as compared to 3921.2 points on September 30, 2008 . During the month of October 2008, S&P CNX Nifty touched a high of 4000.50 points on October 01, 2008 before closing at 2885.6 points on October 31, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.2406508 crores on September 30, 2008, to Rs.1785998 crores on October 31, 2008 i.e. a decrease of Rs.620510 crores (-26%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for October 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost October 08
23,LT,Engineering,"1,170,594,892"," 47,236 ",2.64%,1.04 ,0.62 ,6.10 ,(34.02),0.15
24,M&M,Automobile - 4 wheelers,"2,585,693,650"," 9,683 ",0.54%,0.91 ,0.44 ,9.42 ,(26.50),0.22
25,MARUTI,Automobile - 4 wheelers,"1,444,550,300"," 16,271 ",0.91%,0.68 ,0.37 ,4.55 ,(18.40),0.15
26,NATIONALUM,Aluminium,"6,443,096,280"," 10,264 ",0.57%,0.95 ,0.26 ,8.53 ,(57.04),0.33
27,NTPC,Power,"82,454,644,000"," 116,344 ",6.51%,1.00 ,0.62 ,4.69 ,(17.92),0.17
28,ONGC,Oil Exploration,"21,388,725,300"," 143,112 ",8.01%,0.91 ,0.58 ,4.50 ,(35.30),0.18
29,PNB,Banks,"3,153,025,000"," 13,265 ",0.74%,0.97 ,0.53 ,4.49 ,(11.42),0.15
30,POWERGRID,Power,"42,088,412,300"," 29,399 ",1.65%,1.07 ,0.59 ,5.26 ,(18.59),0.20
31,RANBAXY,Pharmaceuticals,"1,870,558,450"," 6,313 ",0.35%,0.61 ,0.18 ,6.76 ,(31.71),0.18
32,RCOM,Telecommunication - Services,"10,320,134,405"," 45,398 ",2.54%,1.34 ,0.59 ,10.56 ,(34.06),0.19
33,RELINFRA,Power,"2,308,702,620"," 10,562 ",0.59%,1.73 ,0.71 ,9.42 ,(42.11),0.15
34,RELIANCE,Refineries,"15,737,875,560"," 216,467 ",12.12%,1.14 ,0.76 ,7.40 ,(29.44),0.13
35,RPL,Refineries,"45,000,000,000"," 38,858 ",2.18%,1.15 ,0.56 ,5.97 ,(39.83),0.15
36,SAIL,Steel & Steel Products,"41,304,005,450"," 34,943 ",1.96%,1.12 ,0.52 ,6.16 ,(33.75),0.21
37,SATYAMCOMP,Computers - Software,"1,347,228,156"," 20,522 ",1.15%,0.77 ,0.35 ,5.81 ,2.28 ,0.16
38,SBIN,Banks,"6,348,802,220"," 70,453 ",3.94%,0.98 ,0.56 ,5.68 ,(24.17),0.13
39,SIEMENS,Electrical Equipment,"674,320,400"," 8,926 ",0.50%,0.93 ,0.48 ,5.92 ,(33.66),0.22
40,STER,Metals,"1,416,971,700"," 20,114 ",1.13%,1.21 ,0.50 ,9.36 ,(33.78),0.21
41,SUNPHARMA,Pharmaceuticals,"1,035,581,955"," 23,161 ",1.30%,0.37 ,0.12 ,4.44 ,(24.61),0.18
42,SUZLON,Electrical Equipment,"2,996,590,800"," 6,652 ",0.37%,1.39 ,0.49 ,11.80 ,(70.81),0.20
43,TATACOMM,Telecommunication - Services,"2,850,000,000"," 13,821 ",0.77%,1.11 ,0.44 ,8.12 ,2.67 ,0.20
44,TATAMOTORS,Automobile - 4 wheelers,"4,499,331,420"," 7,629 ",0.43%,0.89 ,0.49 ,7.18 ,(50.70),0.17
45,TATAPOWER,Power,"2,213,877,340"," 15,267 ",0.85%,1.14 ,0.50 ,6.99 ,(23.98),0.18
46,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 15,328 ",0.86%,1.21 ,0.59 ,8.88 ,(50.90),0.15
47,TCS,Computers - Software,"978,610,498"," 52,600 ",2.95%,0.92 ,0.49 ,6.85 ,(19.25),0.18
48,UNITECH,Construction,"3,246,750,000"," 7,857 ",0.44%,1.74 ,0.50 ,16.63 ,(58.56),0.20
49,WIPRO,Computers - Software,"2,926,006,416"," 39,889 ",2.23%,0.95 ,0.50 ,6.96 ,(19.79),0.25
50,ZEEL,Media & Entertainment,"434,007,111"," 6,679 ",0.37%,0.70 ,0.34 ,6.35 ,(21.68),0.22
,,,,,,,,,,
,,,," 1,785,998 ",100.00%,,,,,0.16
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-November-2007 to 31-October-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-October-2008 to 31-October-2008,,,,,,,
,,,,,,,
* Last day of trading was 31 October-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
