S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 2755.1 points on November 28, 2008 representing a decrease of 130.50 pts points (-4.52%), as compared to  2885.6 points on October 31, 2008 . During the month of November 2008, S&P CNX Nifty touched a high of 3240.55 points on November 05, 2008 before closing at 2755.1 points on November 28, 2008 . The market capitalisation of  S&P CNX Nifty decreased from Rs.1785998 crores on October 31, 2008, to Rs.1706209 crores on November 28, 2008 i.e. a decrease of Rs.79789crores (-4.47%)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation for November 2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November 08
41,SUNPHARMA,Pharmaceuticals,"1,035,581,955"," 22,413 ",1.31%,0.30 ,0.08 ,3.54 ,(3.23),0.14
42,SUZLON,Electrical Equipment,"2,996,590,800"," 6,240 ",0.37%,1.37 ,0.45 ,8.84 ,(6.19),0.17
43,TATACOMM,Telecommunication - Services,"2,850,000,000"," 11,239 ",0.66%,1.00 ,0.38 ,4.31 ,(18.68),0.15
44,TATAMOTORS,Automobile - 4 wheelers,"4,499,331,420"," 6,160 ",0.36%,0.97 ,0.52 ,6.44 ,(19.26),0.16
45,TATAPOWER,Power,"2,213,877,340"," 14,801 ",0.87%,1.10 ,0.52 ,4.56 ,(3.05),0.15
46,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 11,064 ",0.65%,1.25 ,0.61 ,6.65 ,(27.82),0.15
47,TCS,Computers - Software,"978,610,498"," 54,743 ",3.21%,0.88 ,0.46 ,4.24 ,4.07 ,0.16
48,UNITECH,Construction,"3,246,750,000"," 3,758 ",0.22%,1.64 ,0.46 ,7.51 ,(52.17),0.19
49,WIPRO,Computers - Software,"2,926,949,652"," 35,511 ",2.08%,0.92 ,0.49 ,4.47 ,(11.00),0.22
50,ZEEL,Media & Entertainment,"434,007,111"," 4,731 ",0.28%,0.68 ,0.31 ,4.70 ,(29.17),0.17
,,,,,,,,,,
,,,," 1,706,210 ",100.00%,,,,,0.15
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-December-2007 to 30-November-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-November-2008 to 30-November-2008,,,,,,,
,,,,,,,
* Last day of trading was 28-November-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
