S&P CNX NIFTY INDEX,,,,,,,,,,
"The S&P CNX Nifty closed at 5165.9 points on April 30, 2008 representing an increase of 431.40 pts points (9.11%), as compared to 4734.5 points on March 31, 2008. During the month of April 2008, S&P CNX Nifty touched a high of 5230.75 points on April 30, 2008 before closing at 5230.75 points on April 30, 2008. The market capitalisation of  S&P CNX Nifty increased from Rs.2848773 crores on March 31, 2008 to Rs.3108589 crores on April 30, 2008, i.e. an increase of Rs.259816 crores (9.12%).",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sr. No,Security Symbol,Industry,Equity,Market Capitalisation as on 30-04-2008,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr 08
41,SUNPHARMA,Pharmaceuticals,"1,035,581,955"," 29,986 ",0.96%,0.39 ,0.12 ,2.04 ,17.77 ,0.10
42,SUZLON,Electrical Equipment,"2,993,868,800"," 42,992 ",1.38%,1.07 ,0.32 ,3.03 ,8.87 ,0.07
43,TATACOMM,Telecommunication - Services,"2,850,000,000"," 14,209 ",0.46%,1.02 ,0.34 ,3.19 ,(2.81),0.10
44,TATAMOTORS,Automobile - 4 wheelers,"3,855,039,540"," 25,617 ",0.82%,0.72 ,0.42 ,1.56 ,6.71 ,0.08
45,TATAPOWER,Power,"2,207,001,620"," 30,809 ",0.99%,1.23 ,0.38 ,2.53 ,19.16 ,0.09
46,TATASTEEL,Steel & Steel Products,"7,307,674,270"," 59,795 ",1.92%,1.13 ,0.50 ,2.96 ,17.84 ,0.07
47,TCS,Computers - Software,"978,610,498"," 90,130 ",2.90%,0.70 ,0.35 ,3.59 ,13.64 ,0.08
48,UNITECH,Construction,"3,246,750,000"," 50,292 ",1.62%,1.54 ,0.50 ,2.83 ,12.17 ,0.08
49,WIPRO,Computers - Software,"2,923,046,360"," 71,432 ",2.30%,0.70 ,0.31 ,3.48 ,13.11 ,0.10
50,ZEEL,Media & Entertainment,"433,566,765"," 9,267 ",0.30%,0.73 ,0.29 ,2.00 ,(13.13),0.08
,,,,,,,,,,
,,,," 3,108,589 ",100.00%,,,,,0.08
,,,,,,,,,,
* Beta & R2 are calculated for the period 01-May-2007 to 30-Apr-2008,,,,,,,,,,
,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,
,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,
   the return on  a security versus that of the market.,,,,,,,
,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Apr-2008 to 30-Apr-2008,,,,,,,
,,,,,,,
* Last day of trading was 30-Apr-2008,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,
,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
